date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:25	127075/127075	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:27%20GMT	http://eco-story.co.kr/goods/catalog?code=0004	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog617e.html	(from http://eco-story.co.kr/main/index)
02:47:26	55906/55906	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:28%20GMT	http://eco-story.co.kr/goods/catalog?code=00040001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog6b66.html	(from http://eco-story.co.kr/main/index)
02:47:26	112846/112846	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:28%20GMT	http://eco-story.co.kr/goods/catalog?code=00040002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog3789.html	(from http://eco-story.co.kr/main/index)
02:47:27	129141/129141	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:29%20GMT	http://eco-story.co.kr/goods/catalog?code=0005	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog0187.html	(from http://eco-story.co.kr/main/index)
02:47:28	128743/128743	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:30%20GMT	http://eco-story.co.kr/goods/catalog?code=00050001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalogf53c.html	(from http://eco-story.co.kr/main/index)
02:47:28	46361/46361	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:30%20GMT	http://eco-story.co.kr/goods/catalog?code=00050002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog17c0.html	(from http://eco-story.co.kr/main/index)
02:47:29	80969/80969	---M--	200	added ('OK')	application/javascript	etag:%221181807-13c49-54b33ce0e1d00%22	http://eco-story.co.kr/app/javascript/js/goods-display.js?dummy=20180720024656	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/js/goods-display605a.js	(from http://eco-story.co.kr/main/index)
02:47:30	129704/129704	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:31%20GMT	http://eco-story.co.kr/goods/catalog?code=00050003	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog339a.html	(from http://eco-story.co.kr/main/index)
02:47:30	145542/145542	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:32%20GMT	http://eco-story.co.kr/goods/catalog?code=0006	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog1741.html	(from http://eco-story.co.kr/main/index)
02:47:31	115282/115282	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:32%20GMT	http://eco-story.co.kr/goods/catalog?code=00060001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalogffc6.html	(from http://eco-story.co.kr/main/index)
02:47:31	132165/132165	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:33%20GMT	http://eco-story.co.kr/goods/catalog?code=00060002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalogf4d9.html	(from http://eco-story.co.kr/main/index)
02:47:32	143998/143998	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:34%20GMT	http://eco-story.co.kr/goods/catalog?code=00060003	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/cataloge3be.html	(from http://eco-story.co.kr/main/index)
02:47:33	118473/118473	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:34%20GMT	http://eco-story.co.kr/goods/catalog?code=0007	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog483b.html	(from http://eco-story.co.kr/main/index)
02:47:34	155/155	---M--	200	added ('OK')	image/png	etag:%2211a0a7b-9b-55cd0c1724e00%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/btn_ham.png	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/btn_ham.png	(from http://eco-story.co.kr/main/index)
02:47:34	30834/30834	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:36%20GMT	http://eco-story.co.kr/member/login	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/member/login.html	(from http://eco-story.co.kr/main/index)
02:47:34	20396/20396	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:36%20GMT	http://eco-story.co.kr/member/agreement	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/member/agreement.html	(from http://eco-story.co.kr/main/index)
